Name,Rating,Type,Address,Average budget,Maximum capacity
Blue Elephant,4,Asiatique,                1180 Uccle ,50,Not Available
Gaster Châtelain,4.5,Français,                1050 Ixelles ,25,Not Available
Tontons,3.5,Belge,                1180 Uccle ,25,Not Available
Au Repos Des Chasseurs,3,Français,                1170 Watermael-Boitsfort ,35,Not Available
Le Briefing,4,Belge,                1160 Auderghem ,25,Not Available
La Riviera,4,Français,                1000 Bruxelles,21,Not Available
Le Second Degré,5,Italien,                1000 Bruxelles,40,Not Available
Agora,4.5,Italien,                1000 Bruxelles,21,Not Available
Le Vignoble,3.5,Français,                1150 Woluwe-Saint-Pierre ,45,Not Available
Kumquat,4,Thaïlandais,                1000 Bruxelles,30,Not Available
Todt's Café,4,Belge,                1000 Bruxelles,30,Not Available
Le P'Tea Lunch,4.5,Européen,                1000 Bruxelles,15,Not Available
Pulcinella,4,Italien,                1180 Uccle ,25,Not Available
L'Arrosoir,3.5,Français,                1160 Auderghem ,30,Not Available
Taphyra,5,Français,                1000 Bruxelles,6,Not Available
Le New Challenge,4.5,Français,                1140 Evere ,30,Not Available
La Bottega,4.5,Belge,                1000 Bruxelles,22,Not Available
Chez Fleur,3.5,Asiatique,                1050 Ixelles ,35,Not Available
Bier Circus (le),4,Belge,                1000 Bruxelles,25,Not Available
Cospaïa,Not available,Belge,                1050 Ixelles ,50,Not Available
Le Cercle Des Voyageurs,4,Du Monde,                1000 Bruxelles,35,Not Available
Solito Posto,4,Italien,                1000 Bruxelles,30,Not Available
Ce Soir On Dîne à Marrakech,4,Marocain,                1180 Uccle ,35,Not Available
Psylophone,4,Belge,                1170 Bruxelles,27,Not Available
Pizzeria Koçak,4,Turc,                1030 Schaerbeek ,16,Not Available
Le Jardin Des Merles,4,Belge,                1180 Uccle ,20,Not Available
Les Petits Bouchons,4.5,Français,                1180 Uccle ,45,Not Available
La Soeur Du Patron,3.5,Français,                1160 Auderghem ,30,Not Available
Delphes,4,Grec,                1200 Woluwe-Saint-Lambert ,Not Available,Not Available
Autre Chose,4,Belge,                1030 Schaerbeek ,35,Not Available
Le Passage,4.5,Français,                1180 Uccle ,75,Not Available
Le Salvarino,3,Italien,                1030 Schaerbeek ,30,Not Available
Le Mangeoire Maison Gourmande,5,Européen,                1000 Bruxelles,25,Not Available
Le Petit Pont,5,Français,                1180 Uccle ,35,Not Available
La Selva,4,Belge,                1030 Schaerbeek ,25,Not Available
La Cantonnaise,4.5,Chinois,                1050 Ixelles ,12,Not Available
Spicy Grill,3.5,Indien,                1000 Bruxelles,25,Not Available
Le Villance,3.5,Français,                1160 Auderghem ,35,Not Available
Wall Street,Not available,Européen,                1040 Etterbeek ,25,Not Available
Charlotte,4,Belge,                1180 Uccle ,30,Not Available
La Chaloupe d'Or,3.5,Belge,                1000 Bruxelles,35,Not Available
Bouchery D,4.5,Français,                1180 Uccle ,80,Not Available
La Dynastie Chinoise,3,Chinois,                1000 Bruxelles,Not Available,Not Available
Chao Chow City,2.5,Chinois,                1000 Bruxelles,25,Not Available
Atlantide (l'),4,Grec,                1000 Bruxelles,35,Not Available
O-live,3.5,Méditerranéen,                1170 Watermael-Boitsfort ,20,Not Available
Comme Chez Fleur,4,Asiatique,                1180 Uccle ,35,Not Available
Le Cabestan,3.5,Belge,                1180 Bruxelles,15,Not Available
Monticelli,4,Italien,                1180 Uccle ,40,Not Available
Paradise Of India,3.5,Indien,                1140 Evere ,25,Not Available
Zorba,4,Grec,                1150 Woluwe-Saint-Pierre ,30,Not Available
Le Grand Duc,4.5,Français,                1150 Woluwe-Saint-Pierre ,25,Not Available
Xu Ji,3.5,Chinois,                1000 Bruxelles,19,Not Available
Coquum,4.5,Français,                1150 Woluwe-Saint-Pierre ,Not Available,Not Available
